YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 05 03 08 00  69  4.4  4.8  0.18  4.00  3.55 999 1010.8   3.4   2.9 999.0 99.0 99.00
2006 05 03 09 00 101  1.6  3.2  0.17  4.17  3.33 999 1010.7   5.5   2.9 999.0 99.0 99.00
2006 05 03 10 00 107  3.6  7.4  0.18  2.50  3.21 999 1009.4   5.9   2.9 999.0 99.0 99.00
2006 05 03 11 00 201  0.5  1.4  0.26  2.63  2.91 999 1009.2   7.0   2.9 999.0 99.0 99.00
2006 05 03 12 00 151  2.2  2.9  0.33  2.94  2.96 999 1008.4   6.7   2.9 999.0 99.0 99.00
2006 05 03 13 00 157  6.4  7.2  0.30  2.78  2.92 999 1007.9   6.5   2.9 999.0 99.0 99.00
2006 05 03 14 00 227  8.9 11.3  0.41  3.03  3.04 999 1008.3   7.0   2.9 999.0 99.0 99.00
2006 05 03 15 00 258  8.1  9.1  0.53  3.13  3.03 999 1008.8   4.3   2.9 999.0 99.0 99.00
2006 05 03 17 00 226  5.3  6.4  0.63  3.70  3.46 999 1010.1   3.9   3.0 999.0 99.0 99.00
2006 05 03 18 00 251  8.3  9.3  0.52  3.70  3.25 999 1010.1   7.5   3.0 999.0 99.0 99.00
2006 05 03 19 00 256  6.4  7.0  0.66  4.00  3.44 999 1009.9   6.5   3.0 999.0 99.0 99.00
