#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 03 17 07 50 333  0.3  0.9 99.00 99.00 99.00 999 1010.1   3.7   4.8 999.0 99.0 99.00
2012 03 17 08 50 180  0.1  0.8 99.00 99.00 99.00 999 1009.6   4.3   4.8 999.0 99.0 99.00
2012 03 17 09 50 325  0.2  0.9 99.00 99.00 99.00 999 1009.6   3.6   4.6 999.0 99.0 99.00
2012 03 17 10 50 180  0.0  0.3 99.00 99.00 99.00 999 1009.6   4.0   4.4 999.0 99.0 99.00
2012 03 17 11 50 180  0.0  0.0 99.00 99.00 99.00 999 1009.8   3.1   4.2 999.0 99.0 99.00
2012 03 17 12 50 180  0.0  0.2 99.00 99.00 99.00 999 1009.8   2.8   4.0 999.0 99.0 99.00
2012 03 17 13 50 180  0.1  0.5 99.00 99.00 99.00 999 1009.9   6.0   4.5 999.0 99.0 99.00
2012 03 17 14 50 357  0.3  1.6 99.00 99.00 99.00 999 1010.0   7.2   5.7 999.0 99.0 99.00
2012 03 17 15 50 331  0.4  1.8 99.00 99.00 99.00 999 1009.7   6.9   6.8 999.0 99.0 99.00
2012 03 17 16 50   4  0.4  1.6 99.00 99.00 99.00 999 1009.5   7.0   8.0 999.0 99.0 99.00
2012 03 17 17 50  26  0.9  2.3 99.00 99.00 99.00 999 1009.2   8.2   9.2 999.0 99.0 99.00
2012 03 17 18 50  16  0.5  1.8 99.00 99.00 99.00 999 1008.9   8.7  10.2 999.0 99.0 99.00
2012 03 17 19 50   4  0.4  1.7 99.00 99.00 99.00 999 1008.3   9.6  10.7 999.0 99.0 99.00
2012 03 17 20 50 345  0.6  1.5 99.00 99.00 99.00 999 1007.8   8.8  10.6 999.0 99.0 99.00
2012 03 17 21 50 349  0.1  0.9 99.00 99.00 99.00 999 1007.6   9.5  10.6 999.0 99.0 99.00
2012 03 17 22 50 356  0.2  1.0 99.00 99.00 99.00 999 1007.6   8.8  10.4 999.0 99.0 99.00
2012 03 17 23 50  21  0.7  2.0 99.00 99.00 99.00 999 1007.8   7.6   9.7 999.0 99.0 99.00
2012 03 18 00 50 180  0.1  0.4 99.00 99.00 99.00 999 1008.3   5.8   8.7 999.0 99.0 99.00
2012 03 18 01 50 180  0.1  0.8 99.00 99.00 99.00 999 1008.9   6.8   8.3 999.0 99.0 99.00
2012 03 18 02 50 180  0.0  0.0 99.00 99.00 99.00 999 1009.5   6.5   8.1 999.0 99.0 99.00
2012 03 18 03 50  36  0.1  0.6 99.00 99.00 99.00 999 1009.7   6.7   8.0 999.0 99.0 99.00
2012 03 18 04 50 236  0.2  0.8 99.00 99.00 99.00 999 1009.6   5.7   7.6 999.0 99.0 99.00
2012 03 18 05 50 350  0.2  1.2 99.00 99.00 99.00 999 1009.2   6.0   7.4 999.0 99.0 99.00
2012 03 18 06 50 258  0.6  3.3 99.00 99.00 99.00 999 1009.1   4.9   7.0 999.0 99.0 99.00
2012 03 18 07 50 318  0.3  1.0 99.00 99.00 99.00 999 1009.2   5.6   6.9 999.0 99.0 99.00
2012 03 18 08 50 325  0.2  0.8 99.00 99.00 99.00 999 1009.2   4.5   6.6 999.0 99.0 99.00
2012 03 18 09 50 353  0.4  1.3 99.00 99.00 99.00 999 1009.6   4.1   6.2 999.0 99.0 99.00
2012 03 18 10 50 180  0.0  0.4 99.00 99.00 99.00 999 1009.9   3.8   5.9 999.0 99.0 99.00
2012 03 18 11 50 180  0.0  0.5 99.00 99.00 99.00 999 1010.0   4.6   5.9 999.0 99.0 99.00
2012 03 18 12 50 337  0.3  1.2 99.00 99.00 99.00 999 1010.1   4.2   5.8 999.0 99.0 99.00
2012 03 18 13 50 320  0.2  1.0 99.00 99.00 99.00 999 1010.2   4.2   5.9 999.0 99.0 99.00
2012 03 18 14 50 333  0.5  1.2 99.00 99.00 99.00 999 1010.5   4.6   6.3 999.0 99.0 99.00
2012 03 18 15 50 338  0.3  1.1 99.00 99.00 99.00 999 1010.3   5.6   7.1 999.0 99.0 99.00
2012 03 18 16 50 352  0.3  1.8 99.00 99.00 99.00 999 1009.6   6.6   7.9 999.0 99.0 99.00
2012 03 18 17 50 327  0.5  1.2 99.00 99.00 99.00 999 1009.3   7.4   9.0 999.0 99.0 99.00
2012 03 18 18 50 351  0.8  3.1 99.00 99.00 99.00 999 1008.5   8.9   9.9 999.0 99.0 99.00
2012 03 18 19 50 339  0.8  2.4 99.00 99.00 99.00 999 1008.1   8.4  10.3 999.0 99.0 99.00
2012 03 18 20 50 344  1.2  2.8 99.00 99.00 99.00 999 1007.8   8.0  10.3 999.0 99.0 99.00
2012 03 18 21 50 340  0.7  2.3 99.00 99.00 99.00 999 1007.4   6.7   9.9 999.0 99.0 99.00
2012 03 18 22 50 331  0.5  1.8 99.00 99.00 99.00 999 1007.1   6.6   9.6 999.0 99.0 99.00
2012 03 18 23 50 348  0.3  1.4 99.00 99.00 99.00 999 1007.4   6.8   8.9 999.0 99.0 99.00
2012 03 19 00 50 307  0.2  1.0 99.00 99.00 99.00 999 1007.6   5.3   8.0 999.0 99.0 99.00
2012 03 19 01 50 334  0.6  1.4 99.00 99.00 99.00 999 1007.9   5.3   7.5 999.0 99.0 99.00
2012 03 19 02 50 326  0.1  0.8 99.00 99.00 99.00 999 1008.0   4.5   7.0 999.0 99.0 99.00
2012 03 19 03 50 342  0.1  1.3 99.00 99.00 99.00 999 1007.9   4.3   6.7 999.0 99.0 99.00
2012 03 19 04 50 320  0.2  0.9 99.00 99.00 99.00 999 1007.9   4.0   6.3 999.0 99.0 99.00
2012 03 19 05 50 325  0.2  0.9 99.00 99.00 99.00 999 1007.9   4.0   6.0 999.0 99.0 99.00
2012 03 19 06 50 335  0.3  1.6 99.00 99.00 99.00 999 1007.9   4.3   5.8 999.0 99.0 99.00
2012 03 19 07 50 330  0.2  1.0 99.00 99.00 99.00 999 1008.3   4.0   5.6 999.0 99.0 99.00
2012 03 19 08 50 321  0.2  0.9 99.00 99.00 99.00 999 1008.2   5.0   5.6 999.0 99.0 99.00
2012 03 19 09 50 325  0.2  1.1 99.00 99.00 99.00 999 1008.4   5.0   5.7 999.0 99.0 99.00
2012 03 19 10 50 180  0.1  0.7 99.00 99.00 99.00 999 1008.6   4.8   5.6 999.0 99.0 99.00
2012 03 19 11 50 346  0.3  1.0 99.00 99.00 99.00 999 1009.0   5.4   5.9 999.0 99.0 99.00
2012 03 19 12 50 349  0.5  1.9 99.00 99.00 99.00 999 1008.8   5.3   6.2 999.0 99.0 99.00
2012 03 19 13 50   3  1.2  3.6 99.00 99.00 99.00 999 1009.0   6.2   6.4 999.0 99.0 99.00
2012 03 19 14 50 350  0.3  1.2 99.00 99.00 99.00 999 1008.8   6.7   7.1 999.0 99.0 99.00
2012 03 19 15 50 360  0.2  1.4 99.00 99.00 99.00 999 1008.6   6.8   7.9 999.0 99.0 99.00
2012 03 19 16 50 345  0.4  1.6 99.00 99.00 99.00 999 1008.2   8.1   8.7 999.0 99.0 99.00
2012 03 19 17 50 324  0.5  1.9 99.00 99.00 99.00 999 1008.2   8.1   9.3 999.0 99.0 99.00
2012 03 19 18 50 336  0.6  1.9 99.00 99.00 99.00 999 1007.7   8.1   9.9 999.0 99.0 99.00
2012 03 19 19 50 345  0.7  2.3 99.00 99.00 99.00 999 1006.7   8.3  10.2 999.0 99.0 99.00
2012 03 19 20 50 331  0.5  1.7 99.00 99.00 99.00 999 1006.4   8.1  10.4 999.0 99.0 99.00
2012 03 19 21 50 328  0.7  1.9 99.00 99.00 99.00 999 1006.2   7.7  10.2 999.0 99.0 99.00
2012 03 19 22 50 335  0.8  3.4 99.00 99.00 99.00 999 1005.5   7.9   9.9 999.0 99.0 99.00
2012 03 19 23 50 337  0.6  1.8 99.00 99.00 99.00 999 1005.4   7.7   9.5 999.0 99.0 99.00
2012 03 20 00 50 345  0.9  2.3 99.00 99.00 99.00 999 1005.5   7.4   8.8 999.0 99.0 99.00
2012 03 20 01 50 348  0.7  1.7 99.00 99.00 99.00 999 1006.0   5.9   8.0 999.0 99.0 99.00
2012 03 20 02 50 343  0.5  1.6 99.00 99.00 99.00 999 1006.2   5.7   7.6 999.0 99.0 99.00
2012 03 20 03 50   9  0.3  1.0 99.00 99.00 99.00 999 1006.3   7.3   7.8 999.0 99.0 99.00
2012 03 20 04 50 207  0.6  2.8 99.00 99.00 99.00 999 1007.1   6.6   8.0 999.0 99.0 99.00
2012 03 20 05 50 337  0.3  1.2 99.00 99.00 99.00 999 1006.2   8.6   8.3 999.0 99.0 99.00
2012 03 20 06 50 319  0.2  1.4 99.00 99.00 99.00 999 1005.9   8.0   8.2 999.0 99.0 99.00
2012 03 20 07 50 180  0.0  0.0 99.00 99.00 99.00 999 1006.9   6.9   8.1 999.0 99.0 99.00
2012 03 20 08 50 336  0.6  1.9 99.00 99.00 99.00 999 1007.8   5.7   7.5 999.0 99.0 99.00
